mode: set
open-btm.com/common/common.go:27.174,31.15 2 0
open-btm.com/messages/consumer.go:41.2,42.16 2 0
open-btm.com/messages/consumer.go:42.16,45.3 2 0
open-btm.com/messages/consumer.go:46.2,63.16 4 0
open-btm.com/messages/consumer.go:63.16,66.3 2 0
open-btm.com/messages/consumer.go:70.2,70.36 1 0
open-btm.com/messages/consumer.go:70.36,73.25 2 0
open-btm.com/messages/consumer.go:73.25,76.20 1 0
open-btm.com/messages/consumer.go:77.21,80.19 3 0
open-btm.com/messages/consumer.go:80.19,83.11 3 0
open-btm.com/messages/consumer.go:85.5,85.18 1 0
open-btm.com/messages/consumer.go:86.19,90.19 3 0
open-btm.com/messages/consumer.go:90.19,92.6 1 0
open-btm.com/messages/consumer.go:95.5,108.81 4 0
open-btm.com/messages/consumer.go:108.81,110.8 1 0
open-btm.com/messages/consumer.go:115.5,116.20 2 0
open-btm.com/messages/consumer.go:116.20,118.6 1 0
open-btm.com/messages/consumer.go:121.5,127.19 5 0
open-btm.com/messages/consumer.go:127.19,135.11 7 0
open-btm.com/messages/consumer.go:138.5,143.15 6 0
open-btm.com/messages/consumer.go:145.12,146.37 1 0
open-btm.com/messages/consumer.go:151.2,152.9 2 0
open-btm.com/messages/publishers.go:12.81,35.16 6 0
open-btm.com/messages/publishers.go:35.16,38.3 2 0
open-btm.com/messages/publishers.go:39.2,39.12 1 0
open-btm.com/models/init.go:11.21,13.23 2 0
open-btm.com/models/init.go:13.23,15.3 1 0
open-btm.com/models/init.go:17.2,19.16 3 0
open-btm.com/models/init.go:19.16,23.17 1 0
open-btm.com/models/init.go:23.17,25.4 1 0
open-btm.com/models/init.go:26.3,26.35 1 0
open-btm.com/models/init.go:27.8,28.13 1 0
open-btm.com/models/init.go:32.45,36.16 4 0
open-btm.com/models/init.go:36.16,44.17 1 0
open-btm.com/models/init.go:44.17,46.4 1 0
open-btm.com/models/init.go:47.3,47.52 1 0
open-btm.com/models/init.go:48.8,49.13 1 0
open-btm.com/models/init.go:53.22,60.16 5 0
open-btm.com/models/init.go:60.16,62.33 2 0
open-btm.com/models/init.go:62.33,64.18 2 0
open-btm.com/models/init.go:64.18,73.5 1 0
open-btm.com/models/init.go:77.3,82.34 3 0
open-btm.com/models/init.go:83.8,84.13 1 0
open-btm.com/models/project.go:26.63,33.2 6 0
open-btm.com/models/users.go:63.38,67.78 1 0
open-btm.com/models/users.go:67.78,69.5 1 0
open-btm.com/models/users.go:74.79,85.16 5 0
open-btm.com/models/users.go:85.16,87.3 1 0
open-btm.com/models/users.go:90.2,91.16 2 0
open-btm.com/models/users.go:91.16,93.3 1 0
open-btm.com/models/users.go:94.2,95.28 2 0
open-btm.com/models/users.go:95.28,96.44 1 0
open-btm.com/models/users.go:96.44,98.4 1 0
open-btm.com/models/users.go:102.2,106.16 3 0
open-btm.com/models/users.go:106.16,108.3 1 0
open-btm.com/models/users.go:109.2,113.16 3 0
open-btm.com/models/users.go:113.16,115.3 1 0
open-btm.com/models/users.go:118.2,119.59 2 0
open-btm.com/models/users.go:119.59,121.3 1 0
open-btm.com/models/users.go:123.2,127.16 3 0
open-btm.com/models/users.go:127.16,129.3 1 0
open-btm.com/models/users.go:132.2,133.16 2 0
open-btm.com/models/users.go:133.16,135.3 1 0
open-btm.com/models/users.go:137.2,137.28 1 0
open-btm.com/models/users.go:140.78,155.16 6 0
open-btm.com/models/users.go:155.16,157.3 1 0
open-btm.com/models/users.go:158.2,159.28 2 0
open-btm.com/models/users.go:159.28,160.44 1 0
open-btm.com/models/users.go:160.44,162.4 1 0
open-btm.com/models/users.go:166.2,170.16 3 0
open-btm.com/models/users.go:170.16,172.3 1 0
open-btm.com/models/users.go:173.2,177.16 3 0
open-btm.com/models/users.go:177.16,179.3 1 0
open-btm.com/models/users.go:182.2,183.16 2 0
open-btm.com/models/users.go:183.16,185.3 1 0
open-btm.com/models/users.go:187.2,187.27 1 0
open-btm.com/models/users.go:190.73,205.16 6 0
open-btm.com/models/users.go:205.16,207.3 1 0
open-btm.com/models/users.go:208.2,209.28 2 0
open-btm.com/models/users.go:209.28,210.44 1 0
open-btm.com/models/users.go:210.44,212.4 1 0
open-btm.com/models/users.go:216.2,220.16 3 0
open-btm.com/models/users.go:220.16,222.3 1 0
open-btm.com/models/users.go:223.2,227.16 3 0
open-btm.com/models/users.go:227.16,229.3 1 0
open-btm.com/models/users.go:232.2,233.16 2 0
open-btm.com/models/users.go:233.16,235.3 1 0
open-btm.com/models/users.go:237.2,237.28 1 0
open-btm.com/models/users.go:240.92,249.16 4 0
open-btm.com/models/users.go:249.16,251.3 1 0
open-btm.com/models/users.go:254.2,255.16 2 0
open-btm.com/models/users.go:255.16,257.3 1 0
open-btm.com/models/users.go:258.2,259.28 2 0
open-btm.com/models/users.go:259.28,260.44 1 0
open-btm.com/models/users.go:260.44,262.4 1 0
open-btm.com/models/users.go:266.2,270.16 3 0
open-btm.com/models/users.go:270.16,272.3 1 0
open-btm.com/models/users.go:273.2,275.53 2 0
open-btm.com/models/users.go:275.53,277.3 1 0
open-btm.com/models/users.go:279.2,279.61 1 0
open-btm.com/models/users.go:282.90,295.16 5 0
open-btm.com/models/users.go:295.16,297.3 1 0
open-btm.com/models/users.go:300.2,301.16 2 0
open-btm.com/models/users.go:301.16,303.3 1 0
open-btm.com/models/users.go:304.2,305.28 2 0
open-btm.com/models/users.go:305.28,306.44 1 0
open-btm.com/models/users.go:306.44,308.4 1 0
open-btm.com/models/users.go:312.2,316.16 3 0
open-btm.com/models/users.go:316.16,318.3 1 0
open-btm.com/models/users.go:319.2,321.53 2 0
open-btm.com/models/users.go:321.53,323.3 1 0
open-btm.com/models/users.go:324.2,324.61 1 0
open-btm.com/models/users.go:327.66,337.16 5 0
open-btm.com/models/users.go:337.16,339.3 1 0
open-btm.com/models/users.go:340.2,341.28 2 0
open-btm.com/models/users.go:341.28,342.44 1 0
open-btm.com/models/users.go:342.44,344.4 1 0
open-btm.com/models/users.go:348.2,352.16 3 0
open-btm.com/models/users.go:352.16,354.3 1 0
open-btm.com/models/users.go:355.2,357.53 2 0
open-btm.com/models/users.go:357.53,359.3 1 0
open-btm.com/models/users.go:361.2,361.61 1 0
open-btm.com/models/users.go:364.64,378.16 5 0
open-btm.com/models/users.go:378.16,380.3 1 0
open-btm.com/models/users.go:381.2,382.28 2 0
open-btm.com/models/users.go:382.28,383.44 1 0
open-btm.com/models/users.go:383.44,385.4 1 0
open-btm.com/models/users.go:389.2,393.16 3 0
open-btm.com/models/users.go:393.16,395.3 1 0
open-btm.com/models/users.go:396.2,400.16 3 0
open-btm.com/models/users.go:400.16,402.3 1 0
open-btm.com/models/users.go:405.2,406.16 2 0
open-btm.com/models/users.go:406.16,408.3 1 0
open-btm.com/models/users.go:411.2,411.30 1 0
open-btm.com/models/users.go:414.91,423.16 4 0
open-btm.com/models/users.go:423.16,425.3 1 0
open-btm.com/models/users.go:426.2,427.28 2 0
open-btm.com/models/users.go:427.28,428.44 1 0
open-btm.com/models/users.go:428.44,430.4 1 0
open-btm.com/models/users.go:434.2,438.16 3 0
open-btm.com/models/users.go:438.16,440.3 1 0
open-btm.com/models/users.go:441.2,443.53 2 0
open-btm.com/models/users.go:443.53,445.3 1 0
open-btm.com/models/users.go:447.2,447.61 1 0
open-btm.com/models/users.go:450.77,460.16 5 0
open-btm.com/models/users.go:460.16,462.3 1 0
open-btm.com/models/users.go:463.2,464.28 2 0
open-btm.com/models/users.go:464.28,465.44 1 0
open-btm.com/models/users.go:465.44,467.4 1 0
open-btm.com/models/users.go:471.2,475.16 3 0
open-btm.com/models/users.go:475.16,477.3 1 0
open-btm.com/models/users.go:478.2,480.53 2 0
open-btm.com/models/users.go:480.53,482.3 1 0
open-btm.com/models/users.go:484.2,484.61 1 0
open-btm.com/models/users.go:487.82,497.16 5 0
open-btm.com/models/users.go:497.16,499.3 1 0
open-btm.com/models/users.go:500.2,501.28 2 0
open-btm.com/models/users.go:501.28,502.44 1 0
open-btm.com/models/users.go:502.44,504.4 1 0
open-btm.com/models/users.go:508.2,512.16 3 0
open-btm.com/models/users.go:512.16,514.3 1 0
open-btm.com/models/users.go:515.2,517.53 2 0
open-btm.com/models/users.go:517.53,519.3 1 0
open-btm.com/models/users.go:521.2,521.61 1 0
open-btm.com/models/users.go:524.61,539.16 6 0
open-btm.com/models/users.go:539.16,541.3 1 0
open-btm.com/models/users.go:542.2,543.28 2 0
open-btm.com/models/users.go:543.28,544.44 1 0
open-btm.com/models/users.go:544.44,546.4 1 0
open-btm.com/models/users.go:550.2,554.16 3 0
open-btm.com/models/users.go:554.16,556.3 1 0
open-btm.com/models/users.go:557.2,561.16 3 0
open-btm.com/models/users.go:561.16,563.3 1 0
open-btm.com/models/users.go:566.2,567.16 2 0
open-btm.com/models/users.go:567.16,569.3 1 0
open-btm.com/models/users.go:571.2,571.27 1 0
open-btm.com/models/users.go:577.38,596.16 7 0
open-btm.com/models/users.go:596.16,598.3 1 0
open-btm.com/models/users.go:601.2,606.16 3 0
open-btm.com/models/users.go:606.16,608.3 1 0
open-btm.com/models/users.go:609.2,612.16 3 0
open-btm.com/models/users.go:612.16,615.3 2 0
open-btm.com/models/users.go:616.2,620.16 3 0
open-btm.com/models/users.go:620.16,622.3 1 0
open-btm.com/models/users.go:624.2,625.59 2 0
open-btm.com/models/users.go:625.59,627.3 1 0
open-btm.com/models/users.go:629.2,630.9 2 0
open-btm.com/models/users.go:630.9,632.3 1 0
open-btm.com/models/users.go:634.2,635.26 2 0
open-btm.com/models/users.go:638.93,660.16 6 0
open-btm.com/models/users.go:660.16,662.3 1 0
open-btm.com/models/users.go:665.2,666.16 2 0
open-btm.com/models/users.go:666.16,668.3 1 0
open-btm.com/models/users.go:669.2,672.16 3 0
open-btm.com/models/users.go:672.16,674.3 1 0
open-btm.com/models/users.go:675.2,679.16 3 0
open-btm.com/models/users.go:679.16,681.3 1 0
open-btm.com/models/users.go:684.2,685.16 2 0
open-btm.com/models/users.go:685.16,687.3 1 0
open-btm.com/models/users.go:689.2,689.27 1 0
open-btm.com/models/users.go:696.56,710.16 5 0
open-btm.com/models/users.go:710.16,712.3 1 0
open-btm.com/models/users.go:713.2,714.28 2 0
open-btm.com/models/users.go:714.28,715.44 1 0
open-btm.com/models/users.go:715.44,717.4 1 0
open-btm.com/models/users.go:721.2,725.16 3 0
open-btm.com/models/users.go:725.16,727.3 1 0
open-btm.com/models/users.go:728.2,732.16 3 0
open-btm.com/models/users.go:732.16,734.3 1 0
open-btm.com/models/users.go:737.2,738.59 2 0
open-btm.com/models/users.go:738.59,740.3 1 0
open-btm.com/models/users.go:743.2,744.16 2 0
open-btm.com/models/users.go:744.16,746.3 1 0
open-btm.com/models/users.go:749.2,750.16 2 0
open-btm.com/models/users.go:750.16,752.3 1 0
open-btm.com/models/users.go:755.2,755.27 1 0
open-btm.com/models/users.go:758.56,760.16 2 0
open-btm.com/models/users.go:760.16,762.3 1 0
open-btm.com/models/users.go:764.2,769.106 5 0
open-btm.com/models/users.go:769.106,771.3 1 0
open-btm.com/models/users.go:772.2,772.106 1 0
open-btm.com/models/users.go:772.106,774.3 1 0
open-btm.com/models/users.go:776.2,776.32 1 0
open-btm.com/models/users.go:776.32,778.3 1 0
open-btm.com/models/users.go:781.2,781.20 1 0
open-btm.com/models/users.go:781.20,782.21 1 0
open-btm.com/models/users.go:782.21,784.4 1 0
open-btm.com/models/users.go:785.3,785.25 1 0
open-btm.com/models/users.go:787.2,787.24 1 0
open-btm.com/graph/directive.go:22.121,24.9 2 0
open-btm.com/graph/directive.go:24.9,26.3 1 0
open-btm.com/graph/directive.go:29.2,30.29 2 0
open-btm.com/graph/directive.go:30.29,31.24 1 0
open-btm.com/graph/directive.go:31.24,33.9 2 0
open-btm.com/graph/directive.go:37.2,37.18 1 0
open-btm.com/graph/directive.go:37.18,39.3 1 0
open-btm.com/graph/directive.go:41.2,41.18 1 0
open-btm.com/graph/generated.go:25.63,32.2 1 0
open-btm.com/graph/generated.go:187.49,188.21 1 0
open-btm.com/graph/generated.go:188.21,190.3 1 0
open-btm.com/graph/generated.go:191.2,191.21 1 0
open-btm.com/graph/generated.go:194.128,197.32 3 0
open-btm.com/graph/generated.go:199.18,200.35 1 0
open-btm.com/graph/generated.go:200.35,201.9 1 0
open-btm.com/graph/generated.go:204.3,204.54 1 0
open-btm.com/graph/generated.go:206.33,207.49 1 0
open-btm.com/graph/generated.go:207.49,208.9 1 0
open-btm.com/graph/generated.go:211.3,211.68 1 0
open-btm.com/graph/generated.go:213.26,214.42 1 0
open-btm.com/graph/generated.go:214.42,215.9 1 0
open-btm.com/graph/generated.go:218.3,218.61 1 0
open-btm.com/graph/generated.go:220.28,221.44 1 0
open-btm.com/graph/generated.go:221.44,222.9 1 0
open-btm.com/graph/generated.go:225.3,225.63 1 0
open-btm.com/graph/generated.go:227.30,228.47 1 0
open-btm.com/graph/generated.go:228.47,229.9 1 0
open-btm.com/graph/generated.go:232.3,233.17 2 0
open-btm.com/graph/generated.go:233.17,235.4 1 0
open-btm.com/graph/generated.go:237.3,237.106 1 0
open-btm.com/graph/generated.go:239.41,240.58 1 0
open-btm.com/graph/generated.go:240.58,241.9 1 0
open-btm.com/graph/generated.go:244.3,245.17 2 0
open-btm.com/graph/generated.go:245.17,247.4 1 0
open-btm.com/graph/generated.go:249.3,249.134 1 0
open-btm.com/graph/generated.go:251.36,252.53 1 0
open-btm.com/graph/generated.go:252.53,253.9 1 0
open-btm.com/graph/generated.go:256.3,257.17 2 0
open-btm.com/graph/generated.go:257.17,259.4 1 0
open-btm.com/graph/generated.go:261.3,261.118 1 0
open-btm.com/graph/generated.go:263.42,264.59 1 0
open-btm.com/graph/generated.go:264.59,265.9 1 0
open-btm.com/graph/generated.go:268.3,269.17 2 0
open-btm.com/graph/generated.go:269.17,271.4 1 0
open-btm.com/graph/generated.go:273.3,273.135 1 0
open-btm.com/graph/generated.go:275.31,276.48 1 0
open-btm.com/graph/generated.go:276.48,277.9 1 0
open-btm.com/graph/generated.go:280.3,281.17 2 0
open-btm.com/graph/generated.go:281.17,283.4 1 0
open-btm.com/graph/generated.go:285.3,285.108 1 0
open-btm.com/graph/generated.go:287.29,288.46 1 0
open-btm.com/graph/generated.go:288.46,289.9 1 0
open-btm.com/graph/generated.go:292.3,293.17 2 0
open-btm.com/graph/generated.go:293.17,295.4 1 0
open-btm.com/graph/generated.go:297.3,297.104 1 0
open-btm.com/graph/generated.go:299.32,300.49 1 0
open-btm.com/graph/generated.go:300.49,301.9 1 0
open-btm.com/graph/generated.go:304.3,305.17 2 0
open-btm.com/graph/generated.go:305.17,307.4 1 0
open-btm.com/graph/generated.go:309.3,309.110 1 0
open-btm.com/graph/generated.go:311.36,312.53 1 0
open-btm.com/graph/generated.go:312.53,313.9 1 0
open-btm.com/graph/generated.go:316.3,317.17 2 0
open-btm.com/graph/generated.go:317.17,319.4 1 0
open-btm.com/graph/generated.go:321.3,321.123 1 0
open-btm.com/graph/generated.go:323.30,324.47 1 0
open-btm.com/graph/generated.go:324.47,325.9 1 0
open-btm.com/graph/generated.go:328.3,329.17 2 0
open-btm.com/graph/generated.go:329.17,331.4 1 0
open-btm.com/graph/generated.go:333.3,333.85 1 0
open-btm.com/graph/generated.go:335.41,336.58 1 0
open-btm.com/graph/generated.go:336.58,337.9 1 0
open-btm.com/graph/generated.go:340.3,341.17 2 0
open-btm.com/graph/generated.go:341.17,343.4 1 0
open-btm.com/graph/generated.go:345.3,345.134 1 0
open-btm.com/graph/generated.go:347.36,348.53 1 0
open-btm.com/graph/generated.go:348.53,349.9 1 0
open-btm.com/graph/generated.go:352.3,353.17 2 0
open-btm.com/graph/generated.go:353.17,355.4 1 0
open-btm.com/graph/generated.go:357.3,357.91 1 0
open-btm.com/graph/generated.go:359.42,360.59 1 0
open-btm.com/graph/generated.go:360.59,361.9 1 0
open-btm.com/graph/generated.go:364.3,365.17 2 0
open-btm.com/graph/generated.go:365.17,367.4 1 0
open-btm.com/graph/generated.go:369.3,369.135 1 0
open-btm.com/graph/generated.go:371.31,372.48 1 0
open-btm.com/graph/generated.go:372.48,373.9 1 0
open-btm.com/graph/generated.go:376.3,377.17 2 0
open-btm.com/graph/generated.go:377.17,379.4 1 0
open-btm.com/graph/generated.go:381.3,381.86 1 0
open-btm.com/graph/generated.go:383.29,384.46 1 0
open-btm.com/graph/generated.go:384.46,385.9 1 0
open-btm.com/graph/generated.go:388.3,389.17 2 0
open-btm.com/graph/generated.go:389.17,391.4 1 0
open-btm.com/graph/generated.go:393.3,393.84 1 0
open-btm.com/graph/generated.go:395.32,396.49 1 0
open-btm.com/graph/generated.go:396.49,397.9 1 0
open-btm.com/graph/generated.go:400.3,401.17 2 0
open-btm.com/graph/generated.go:401.17,403.4 1 0
open-btm.com/graph/generated.go:405.3,405.87 1 0
open-btm.com/graph/generated.go:407.36,408.53 1 0
open-btm.com/graph/generated.go:408.53,409.9 1 0
open-btm.com/graph/generated.go:412.3,413.17 2 0
open-btm.com/graph/generated.go:413.17,415.4 1 0
open-btm.com/graph/generated.go:417.3,417.123 1 0
open-btm.com/graph/generated.go:419.30,420.47 1 0
open-btm.com/graph/generated.go:420.47,421.9 1 0
open-btm.com/graph/generated.go:424.3,425.17 2 0
open-btm.com/graph/generated.go:425.17,427.4 1 0
open-btm.com/graph/generated.go:429.3,429.106 1 0
open-btm.com/graph/generated.go:431.36,432.53 1 0
open-btm.com/graph/generated.go:432.53,433.9 1 0
open-btm.com/graph/generated.go:436.3,437.17 2 0
open-btm.com/graph/generated.go:437.17,439.4 1 0
open-btm.com/graph/generated.go:441.3,441.118 1 0
open-btm.com/graph/generated.go:443.31,444.48 1 0
open-btm.com/graph/generated.go:444.48,445.9 1 0
open-btm.com/graph/generated.go:448.3,449.17 2 0
open-btm.com/graph/generated.go:449.17,451.4 1 0
open-btm.com/graph/generated.go:453.3,453.108 1 0
open-btm.com/graph/generated.go:455.29,456.46 1 0
open-btm.com/graph/generated.go:456.46,457.9 1 0
open-btm.com/graph/generated.go:460.3,461.17 2 0
open-btm.com/graph/generated.go:461.17,463.4 1 0
open-btm.com/graph/generated.go:465.3,465.104 1 0
open-btm.com/graph/generated.go:467.32,468.49 1 0
open-btm.com/graph/generated.go:468.49,469.9 1 0
open-btm.com/graph/generated.go:472.3,473.17 2 0
open-btm.com/graph/generated.go:473.17,475.4 1 0
